 73 0, 2349469, 3476566, 2436423, 1213014, 1927041, 1209496, 944
 74 0, 2349378, 3476520, 2436365, 1212923, 1926995, 1209438, 944
 75 0, 2349277, 3475503, 2436403, 1212822, 1925978, 1209476, 944
 76 0, 2349193, 3470781, 2436494, 1212738, 1921256, 1209567, 943
 77 0, 2349479, 3467348, 2436524, 1213024, 1917823, 1209597, 943
 78 0, 2350030, 3466139, 2436472, 1213575, 1916614, 1209545, 942
 79 0, 2349995, 3465993, 2436533, 1213540, 1916468, 1209606, 942
 80 0, 2350174, 3490270, 2436763, 1213719, 1940745, 1209836, 946
 81 0, 2350611, 3484603, 2436869, 1214156, 1935078, 1209942, 946
 82 0, 2351605, 3452952, 2436733, 1215150, 1903427, 1209806, 941
 83 0, 2352432, 3447859, 2436456, 1215977, 1898334, 1209529, 940
 84 0, 2351429, 3444200, 2437342, 1214974, 1894675, 1210415, 940
 85 0, 2313028, 3314868, 2435359, 1176573, 1765343, 1208432, 908
 86 0, 2140901, 3090692, 2351870, 1004446, 1541167, 1124943, 803
 87 0, 1890284, 2755169, 2084931, 753829, 1205644, 858004, 614
 88 0, 1569337, 2313100, 1779757, 432882, 763575, 552830, 378
 89 0, 1252374, 1815764, 1486067, 115919, 266239, 259140, 138
 90 0, 1145672, 1567661, 1243030, 9217, 18136, 16103, 9
 91 0, 1125352, 1546510, 1209462, -11103, -3015, -17465, -7
 92 0, 1124648, 1548455, 1228453, -11807, -1070, 1526, -3
 93 0, 1125749, 1548671, 1228731, -10706, -854, 1804, -2
 94 0, 1125961, 1548726, 1228671, -10494, -799, 1744, -2
 95 0, 1126225, 1548648, 1228705, -10230, -877, 1778, -2
 96 0, 1126551, 1548589, 1228632, -9904, -936, 1705, -2
 97 0, 1126660, 1548469, 1228695, -9795, -1056, 1768, -2
 98 0, 1126632, 1548329, 1228632, -9823, -1196, 1705, -2
 99 0, 1126532, 1548213, 1228563, -9923, -1312, 1636, -2
 100 0, 1126148, 1547959, 1228632, -10307, -1566, 1705, -2
 101 0, 1125182, 1547612, 1228710, -11273, -1913, 1783, -3
 102 0, 1141575, 1547899, 1232363, 5120, -1626, 5436, 2
 103 0, 1229484, 1580461, 1237878, 93029, 30936, 10951, 34
 104 0, 1213691, 1660630, 1224542, 77236, 111105, -2385, 38
 105 0, 1256009, 1914659, 1220231, 119554, 365134, -6696, 89
 106 0, 1580143, 2462258, 1501448, 443688, 912733, 274521, 336
 107 0, 2043543, 3461603, 2110740, 907088, 1912078, 883813, 774
 108 0, 2282536, 3493530, 2474559, 1146081, 1944005, 1247632, 937
 109 0, 2332953, 3473449, 2576092, 1196498, 1923924, 1349165, 973
 110 0, 2335654, 3473329, 2583875, 1199199, 1923804, 1356948, 976
 111 0, 2334535, 3473218, 2583736, 1198080, 1923693, 1356809, 975
 112 0, 2333499, 3473289, 2583373, 1197044, 1923764, 1356446, 975
 113 0, 2332928, 3473225, 2583035, 1196473, 1923700, 1356108, 975
 114 0, 2332592, 3473042, 2582981, 1196137, 1923517, 1356054, 974
 115 0, 2332736, 3473097, 2583115, 1196281, 1923572, 1356188, 974
 116 0, 2333493, 3473042, 2583333, 1197038, 1923517, 1356406, 975
 117 0, 2334263, 3473354, 2583362, 1197808, 1923829, 1356435, 975
 118 0, 2334627, 3473468, 2583551, 1198172, 1923943, 1356624, 975
 119 0, 2335017, 3473531, 2583560, 1198562, 1924006, 1356633, 975
 120 0, 2335265, 3473624, 2583798, 1198810, 1924099, 1356871, 975
 121 0, 2335412, 3473757, 2583723, 1198957, 1924232, 1356796, 975
 122 0, 2335556, 3473798, 2583641, 1199101, 1924273, 1356714, 976
 123 0, 2335648, 3473851, 2583445, 1199193, 1924326, 1356518, 976
 124 0, 2335601, 3473827, 2583420, 1199146, 1924302, 1356493, 975
 125 0, 2335851, 3474067, 2583394, 1199396, 1924542, 1356467, 976
 126 0, 2336119, 3474104, 2583237, 1199664, 1924579, 1356310, 976
 127 0, 2336579, 3474244, 2583116, 1200124, 1924719, 1356189, 976
 128 0, 2337106, 3474359, 2583125, 1200651, 1924834, 1356198, 976
 129 0, 2337120, 3474575, 2582996, 1200665, 1925050, 1356069, 976
 130 0, 2337059, 3474663, 2582505, 1200604, 1925138, 1355578, 976
 131 0, 2337148, 3474733, 2582090, 1200693, 1925208, 1355163, 976
 132 0, 2337108, 3475013, 2581678, 1200653, 1925488, 1354751, 976
 133 0, 2336946, 3474970, 2581272, 1200491, 1925445, 1354345, 976
 134 0, 2336799, 3474981, 2581077, 1200344, 1925456, 1354150, 975
 135 0, 2336700, 3475020, 2580938, 1200245, 1925495, 1354011, 975
 136 0, 2336728, 3475195, 2580414, 1200273, 1925670, 1353487, 975
 137 0, 2336867, 3475210, 2580020, 1200412, 1925685, 1353093, 975
 138 0, 2336789, 3475304, 2579698, 1200334, 1925779, 1352771, 975
 139 0, 2336872, 3475314, 2579793, 1200417, 1925789, 1352866, 975
 140 0, 2337354, 3475090, 2579680, 1200899, 1925565, 1352753, 975
 141 0, 2338134, 3462592, 2579441, 1201679, 1913067, 1352514, 973
 142 0, 2339593, 3399932, 2578860, 1203138, 1850407, 1351933, 964
 143 0, 2314121, 3251481, 2573440, 1177666, 1701956, 1346513, 932
 144 0, 2095416, 2905444, 2460166, 958961, 1355919, 1233239, 788
 145 0, 1713392, 2421707, 2078738, 576937, 872182, 851811, 510
 146 0, 1335628, 1945671, 1669694, 199173, 396146, 442767, 227
 147 0, 1127897, 1626933, 1321108, -8558, 77408, 94181, 32
 148 0, 1099703, 1549091, 1225083, -36752, -434, -1844, -11
 149 0, 1096873, 1550002, 1226504, -39582, 477, -423, -11
 150 0, 1097341, 1550190, 1226707, -39114, 665, -220, -11
 151 0, 1097912, 1550382, 1226744, -38543, 857, -183, -11
 152 0, 1098303, 1550412, 1226862, -38152, 887, -65, -10
 153 0, 1098655, 1550445, 1226840, -37800, 920, -87, -10
 154 0, 1098577, 1550159, 1226741, -37878, 634, -186, -10
 155 0, 1098647, 1550068, 1226771, -37808, 543, -156, -10
