, 2800, 1399958, 2208520, 1564188
, 3500, 1397795, 2146245, 1574492
, 4020, 1411551, 2216444, 1572070
, 4340, 1437338, 2177702, 1562323
, 8340, 1392273, 2106638, 1550325
, 8820, 1440864, 2349046, 1554518
, 9220, 1471551, 2290304, 1584367
, 9740, 1466757, 2258877, 1592575
, 10380, 1424551, 2072372, 1573270
, 10840, 1431766, 2097159, 1579477
, 11300, 1477094, 2099087, 1619184
, 11740, 1438953, 2083532, 1542682
, 12200, 1464233, 2090977, 1594578
, 12720, 1450850, 2086552, 1584633
, 13020, 1444883, 2083744, 1609260
, 13400, 1453417, 2114669, 1577256
, 13820, 1442530, 2156069, 1595855
, 14120, 1453352, 2096063, 1587040
, 14640, 1451023, 2246429, 1593662
, 0, 1430802, 2087086, 1551057
, 20, 1455911, 2138408, 1556609
, 40, 1525408, 2350695, 1641848
, 60, 1450539, 2115891, 1577330
, 80, 1462667, 2162498, 1531984
, 100, 1451164, 2109614, 1574370
, 120, 1463342, 2185783, 1569211
, 140, 1445059, 2180236, 1583684
, 160, 1450004, 2077464, 1575529
, 180, 1439973, 2015299, 1559738
, 200, 1448766, 2014443, 1567363
, 220, 1470351, 2053776, 1572677
, 240, 1501333, 1998291, 1547791
, 260, 1452318, 2114258, 1588407
, 280, 1567635, 2128453, 1651966
, 300, 1503280, 2223618, 1624831
, 320, 1448817, 2222874, 1576029
, 340, 1443904, 2110707, 1578699
, 360, 1434712, 2147152, 1567799
2019-01-22-23-18-43, 0, 1473609, 2143455, 1536394
2019-01-22-23-18-46, 20, 1512800, 2242494, 1549085
2019-01-22-23-18-47, 40, 838830, 1563593, 993563
2019-01-22-23-18-49, 60, 1587094, 2368807, 1638089
2019-01-22-23-18-54, 80, 1478561, 2083038, 1664510
2019-01-22-23-18-58, 100, 1474520, 2090513, 1580778
2019-01-22-23-19-01, 120, 1454989, 2174809, 1547231
2019-01-22-23-19-03, 140, 1518125, 2176750, 1557994
2019-01-22-23-19-07, 160, 1441185, 2117272, 1531409
2019-01-22-23-19-11, 180, 1469475, 2120103, 1583273
2019-01-22-23-19-13, 200, 1445690, 2099380, 1531442
2019-01-22-23-19-16, 220, 1500261, 2258477, 1574188
2019-01-22-23-19-19, 240, 1476291, 2064888, 1575742
2019-01-22-23-19-22, 260, 1486305, 2105846, 1594328
2019-01-22-23-19-25, 280, 1457084, 2108038, 1571223
2019-01-22-23-19-27, 300, 1463854, 2144992, 1553386
2019-01-22-23-19-30, 320, 1534468, 2295762, 1577793
2019-01-22-23-19-32, 340, 1458888, 2164220, 1568986
2019-01-22-23-19-34, 360, 1462856, 2215904, 1551056
2019-01-22-23-19-37, 380, 1586216, 2233399, 1644006
, 0, 772366, 1503675, 871757
, 0, 1774543, 2516306, 1660150
, 20, 1989294, 2753111, 2014348
2019-01-23-09-19-07, 0, 1470157, 2177608, 1661353
2019-01-23-09-19-11, 20, 1642944, 2143459, 1494682
2019-01-23-09-19-15, 40, 1504912, 2481127, 1356248
2019-01-23-09-19-20, 60, 1525564, 2315258, 1665343
2019-01-23-09-19-23, 80, 1550187, 2320422, 1474894
2019-01-23-09-19-31, 100, 1622211, 2360197, 1674605
2019-01-23-09-19-35, 120, 1568450, 2223746, 1701577
2019-01-23-09-19-37, 140, 1590983, 2200963, 1728619
2019-01-23-09-19-40, 160, 1600065, 2286346, 1630724
2019-01-23-09-19-43, 180, 1544756, 2258856, 1689755
2019-01-23-09-19-46, 200, 1513614, 2267617, 1566042
2019-01-23-09-19-48, 220, 745000, 1469323, 817538
2019-01-23-09-19-49, 240, 1502824, 2276991, 1689729
2019-01-23-09-19-51, 260, 952971, 1285969, 1701368
2019-01-23-09-19-52, 280, 1553249, 2268344, 1808058
2019-01-23-09-19-59, 300, 1758186, 2381362, 1659964
2019-01-23-09-20-02, 320, 1543630, 2317546, 1402018
2019-01-23-09-20-04, 340, 1718840, 2384753, 1656197
2019-01-23-09-20-06, 360, 1665021, 2412900, 1599352
2019-01-23-09-20-08, 380, 1508164, 2216453, 1678738
2019-01-23-09-20-11, 400, 1484553, 2170943, 1730062
2019-01-23-09-20-13, 420, 1639228, 2293580, 1655329
2019-01-23-09-20-15, 440, 1492927, 2265861, 1555896
2019-01-23-09-22-27, 0, 1513294, 2266037, 1589884
2019-01-23-09-23-02, 0, 1494147, 2526274, 1657513
2019-01-23-09-23-05, 20, 1472412, 2150780, 1674379
2019-01-23-09-23-08, 40, 1590286, 2126674, 1624563
2019-01-23-09-23-10, 60, 1577837, 2242201, 1714636
2019-01-23-09-23-12, 80, 1486140, 2218632, 1699032
2019-01-23-09-23-14, 100, 1517401, 2181775, 1581966
2019-01-23-09-23-17, 120, 1544124, 2205033, 1591566
2019-01-23-09-23-19, 140, 1477843, 2172723, 1730702
2019-01-23-09-23-21, 160, 1453292, 2133245, 1708750
