,,,,,,,,,,,,
0,702311,1491783,867501,,,,,,,,,
1,702495,1491693,867428,,,,,,,,,
2,1460878,2262508,1581004,,,,,,,,,
3,1460940,2262567,1579474,,,,,,,,,
4,2438990,2256191,1686609,,,,,,,,,
5,2363618,2162461,1811229,,,,,,,,,
6,2327682,1976191,1981868,,,,,,,,,
7,2083127,1985767,2178928,,,,,,,,,
8,1998574,2009026,2320160,,,,,,,,,
9,1715613,2114946,2525114,,,,,,,,,
10,1673481,2311600,2625728,,,,,,,,,
11,1613367,2388752,2570009,,,,,,,,,
12,1534522,2481879,2615247,,,,,,,,,
13,1441880,2639477,2464301,,,,,,,,,
14,1468074,2825713,2279469,,,,,,,,,
15,1463781,2944135,1957947,,,,,,,,,
16,1619912,3046258,1695263,,,,,,,,,
17,1731863,3069697,1598733,,,,,,,,,
18,1962967,3108755,1515322,,,,,,,,,
19,2127419,2949501,1520506,,,,,,,,,
20,2492238,2867429,1532582,,,,,,,,,
21,2530148,2618417,1570423,,,,,,,,,
22,2407946,2551776,1641581,,,,,,,,,
23,1746841,2562289,1625426,,,,,,,,,
,,,,,,,,,,,,
0,728856,1484431,861209,,,,,,,,,
1,1489985,2141370,1630357,,,,,,,,,
2,1543191,2364152,1584759,,,,,,,,,
3,1503109,2199098,1667229,,,,,,,,,
4,1504094,2081657,1725329,,,,,,,,,
5,1475305,2106421,1580215,,,,,,,,,
6,1493335,2371363,1761005,,,,,,,,,
7,1544475,2310031,1665984,,,,,,,,,
8,1460211,2336202,1560106,,,,,,,,,
9,1438075,2212433,1640688,,,,,,,,,
10,1479011,2191503,1645565,,,,,,,,,
11,1496545,2097002,1669969,,,,,,,,,
12,1467633,2326322,1677883,,,,,,,,,
13,1470655,2361120,1699006,,,,,,,,,
14,1464779,2138605,1717301,,,,,,,,,
15,1446511,2194101,1659849,,,,,,,,,
16,1493063,2120469,1667055,,,,,,,,,
17,1611592,2242921,1672818,,,,,,,,,
18,1609424,2391780,1664327,,,,,,,,,
19,1460393,2385952,1766745,,,,,,,,,
20,1508871,2157239,1706123,,,,,,,,,
21,1518717,2159960,1662812,,,,,,,,,
22,1496782,2204810,1620795,,,,,,,,,
23,1589542,2239856,1637305,,,,,,,,,
24,2390531,2236868,1717473,,,,,,,,,
25,2364070,2227771,1850046,,,,,,,,,
26,2259667,1957102,1937174,,,,,,,,,
27,2135191,1989937,2196919,,,,,,,,,
28,1915760,1946419,2273049,,,,,,,,,
29,1681670,2087940,2457801,,,,,,,,,
30,1637746,2313914,2571093,,,,,,,,,
31,1510952,2509763,2634584,,,,,,,,,
32,1501842,2546020,2505893,,,,,,,,,
33,1439808,2748537,2412653,,,,,,,,,
34,1466473,2854279,2251640,,,,,,,,,
35,1481035,2998355,1998012,,,,,,,,,
36,1568707,3003753,1705923,,,,,,,,,
37,1637632,3097660,1660643,,,,,,,,,
38,1957289,3016074,1603253,,,,,,,,,
39,2158998,2914894,1600582,,,,,,,,,
40,2347384,2807986,1595209,,,,,,,,,
41,2464404,2644386,1582196,,,,,,,,,
42,2476939,2441099,1669222,,,,,,,,,
43,2918563,2398053,1774527,,,,,,,,,
44,2776019,2070890,1950685,,,,,,,,,
45,2648247,1947241,2175082,,,,,,,,,
46,2545065,1867149,2492314,,,,,,,,,
47,2075462,1904757,2634055,,,,,,,,,
48,1855394,2140426,2552496,,,,,,,,,
49,1612089,2423154,2896081,,,,,,,,,
50,1544285,2682515,2904640,,,,,,,,,
51,1341232,2829482,2745382,,,,,,,,,
52,1242469,3103312,2284514,,,,,,,,,
53,1406887,3279401,2406562,,,,,,,,,
54,1525411,3347890,2180647,,,,,,,,,
55,1648952,3497613,1805969,,,,,,,,,
56,1855255,3524745,1589100,,,,,,,,,
57,2220926,3457844,1490850,,,,,,,,,
58,2529557,3393128,1486358,,,,,,,,,
59,2583162,2801225,1529473,,,,,,,,,
60,2308614,2710228,1599047,,,,,,,,,
61,1687561,2464271,1628451,,,,,,,,,
