 w1,w2,w3
 2822827, 1654073, 2118208
 2822687, 1654844, 2117982
 2821902, 1653994, 2117997
 2821739, 1654385, 2117936
 2822053, 1653395, 2117802
 2822370, 1653640, 2118012
 2822602, 1652965, 2117979
 2822311, 1654080, 2117925
 2822155, 1654864, 2118125
 2822092, 1654843, 2117842
 2821675, 1654483, 2118164
 2821860, 1654252, 2117979
 2822467, 1654480, 2118055
 2821958, 1655191, 2118040
 2822045, 1653833, 2117913
 2822145, 1652725, 2117869
 2822513, 1654002, 2117690
 2822247, 1655032, 2118041
 2821767, 1653693, 2118005
 2822218, 1654760, 2117846
 2822293, 1654697, 2118006
 2822015, 1653961, 2117932
 2821883, 1653659, 2118109
 2822225, 1653799, 2117924
 2821780, 1654126, 2118073
 2821712, 1654220, 2118151
 2822916, 1654905, 2117922
 2822760, 1653707, 2117843
 2822322, 1654265, 2117702
 2822645, 1653664, 2118032
 2821853, 1654255, 2117719
 2822458, 1653649, 2118168
 2822111, 1654343, 2117733
 2822120, 1653940, 2117986
 2822171, 1654159, 2117906
 2822210, 1654092, 2118051
 2822358, 1653984, 2118206
 2822088, 1654844, 2118074
 2822370, 1654252, 2117843
 2821982, 1654540, 2117759
 2821749, 1653696, 2118122
 2822023, 1653694, 2117952
 2822462, 1653729, 2118060
 2822045, 1654293, 2117980
 2822345, 1653768, 2117886
 2822305, 1653878, 2118140
 2822578, 1653706, 2117900
 2822016, 1654421, 2117892
 2821322, 1653676, 2117824
 2821838, 1653957, 2118033
 2822169, 1654276, 2117880
 2821766, 1653744, 2118220
 2822055, 1654320, 2118214
 2822233, 1653946, 2117933
 2822375, 1654260, 2117967
 2821665, 1653870, 2117957
 2822376, 1654891, 2118035
 2821881, 1654688, 2117772
 2821886, 1654718, 2117951
 2821932, 1654707, 2117772
 2822194, 1654696, 2117925
 2822393, 1653646, 2118088
 2821873, 1653927, 2118025
 2821901, 1653988, 2117787
 2822231, 1654204, 2118121
 2822108, 1653538, 2118113
 2822549, 1654850, 2117870
 2822193, 1653845, 2117774
 2821759, 1653790, 2117993
 2822346, 1654090, 2117887
 2822589, 1654380, 2118029
 2822439, 1653661, 2118104
 2822083, 1654255, 2117884
 2822339, 1654958, 2117839
 2821887, 1654093, 2117814
 2821845, 1654166, 2117814
 2822360, 1654324, 2117827
 2822491, 1654279, 2117926
 2822046, 1654111, 2117852
 2821528, 1654425, 2118076
 2822233, 1654316, 2117747
 2821740, 1654074, 2117977
 2822347, 1653943, 2117937
 2821872, 1654604, 2117916
 2822132, 1654353, 2117853
 2821970, 1654519, 2117848
 2822814, 1654271, 2118039
 2821957, 1654235, 2117999
 2821210, 1653498, 2118028
 2822018, 1654005, 2117825
 2822355, 1654765, 2117720
 2822060, 1654313, 2117797
 2822242, 1653921, 2117780
 2822047, 1653998, 2118029
 2821960, 1654593, 2118021
 2821544, 1654145, 2117971
 2821899, 1654470, 2117846
 2822090, 1653682, 2118237
 2822266, 1654326, 2117949
 2822116, 1654665, 2117621
 2822137, 1654209, 2117930
 2822546, 1653757, 2117831
 2822216, 1654864, 2118006
 2822119, 1654578, 2117787
 2822161, 1654205, 2117978
 2822054, 1654304, 2117849
 2822086, 1654644, 2117957
 2821138, 1654722, 2118062
 2821996, 1654618, 2117950
 2821921, 1653838, 2117639
 2822560, 1654305, 2117925
 2822180, 1654306, 2117813
 2821857, 1654585, 2117781
 2822162, 1654339, 2118090
 2822164, 1654003, 2118004
 2822543, 1654212, 2117823
 2822294, 1653358, 2117823
 2822289, 1654885, 2117676
 2822166, 1654329, 2118007
 2822695, 1653921, 2117952
 2822567, 1654867, 2117971
 2822390, 1654085, 2117942
 2822549, 1653737, 2117987
 2822757, 1655357, 2117873
 2821715, 1654920, 2117922
 2821935, 1654365, 2117910
 2821893, 1654487, 2117712
 2822250, 1653687, 2117835
 2821852, 1654644, 2117579
 2821992, 1654788, 2117987
 2822523, 1654202, 2117704
